State UT, Number of Factories,FixedCapital,Working Capital,Productive Capital,Invested Capital,Number of workers
Andhra Pradesh,16012,148244,5681,153926,195906,424075
Arunachal Pradesh,124,192,360,552,430,2925
Assam,3717,16169,11138,27307,25829,163348
Bihar,3529,9945,3492,13436,15897,125557
Chhattisgarh,2809,77935,70223,148158,97096,142799
Goa,635,8871,6227,15098,15185,45052
Gujarat,23433,437702,63253,500954,606559,1103204
Haryana,8243,87948,24786,112734,135903,580933
Himachal Pradesh,2784,48755,16403,65158,63451,147796
Jammu & Kashmir,965,5779,3185,8964,9061,52037
Jharkhand,2738,75665,1199,76865,103096,143595
Karnataka,12566,169023,45737,214761,233622,748372
Kerala,7320,29350,8524,37873,43655,294325
Madhya Pradesh,4240,97297,12931,110227,123602,256924
Maharashtra,28601,337144,109971,447114,497980,1305350
Manipur,160,114,169,283,179,6568
Meghalaya,109,3503,962,4465,4312,11870
Nagaland,197,200,167,367,310,4843
Odisha,2803,229479,-2979,226500,264952,214836
Punjab,12413,41140,32405,73545,83488,467951
Rajasthan,8986,76544,28456,105000,108239,375780
Sikkim,67,1762,1495,3257,2725,11100
Tamil Nadu,37878,221316,67133,288449,329168,1741427
Telangana,14427,57393,27979,85372,87598,585456
Tripura,548,324,22,346,499,26256
UttaraKhand,2987,51042,13174,64216,72122,295217
Uttar Pradesh,14867,108968,24529,133498,175273,673431
West Bengal,9112,86268,22413,108681,132137,504148
A & N. Island,20,23,-41,-18,38,427
Chandigarh,276,826,421,1247,1358,6534
Dadra & N Haveli,1411,23866,18776,42643,42405,96987
Daman & Diu,1874,9491,8064,17555,14319,78347
Delhi,3868,7138,12234,19372,19704,80766
Puducherry,716,5037,2351,7388,7870,37052
